topic,tweet_text,tweet_char_count
COVID-19,indias gift of 100000 covid19 vaccines arrived barbados earlier today this was a very special moment for all barbadians and i want to thank prime minister modi for his quick decisive and magnanimous action in allowing us to be the beneficiary of these vaccines ,261
COVID-19,as part of the ongoing nationwide vaccination rollout that has seen more than 230000 people vaccinated president kagame and first lady jeannette kagame received their covid19 vaccines at king faisal hospital ,208
COVID-19,pleased to receive 50000 doses of covid19 vaccines from india this morning govt of rwanda  is grateful to the govt of india  and other partner countries for their valuable contribution to the fight against covid19 drsjaishankar,227
COVID-19,four former presidents have banded together for two national ad campaigns released thursday designed to drive trust in covid19 vaccines  and theyre all pictured getting inoculated against the virus ,198
COVID-19,wsj all three of russias main intelligence services svr fsb and gru ran fake news sites and phony social media accounts to spread misinformation about pfeizer and moderna vaccines in an attempt to undermine confidence in them  via wsj,234
COVID-19,joel embiid will donate his 100k asw earnings to three homeless shelters in philly to help provide meals clothing items treatment and care for those who get covid19 vaccines funds for a summer camp shelter for 300 teens support for formerly homeless families  ,260
COVID-19,action can be taken now to ensure that canada can produce its own vaccines without the need to solely rely on international partners mossmanlab makes the case for macglobalnexus fitzhenry vector lab to produce covid19 vaccine doses for all canadians ,250
COVID-19,those who falsely claim vaccines are 100 safe and who laugh at antivaxxers will be dependent on those who refuse to tell the official lies to say that widespread vaccination is critical 23 die in norway after receiving covid19 vaccine  via nypost,246
COVID-19,additionally beginning monday april 5 all michiganders age 16 who were not previously eligible will be eligible to receive a vaccine this is exciting news and i urge all eligible michiganders to get one of the three safe and effective covid19 vaccines,251
COVID-19,the eu and italy have blocked astrazenecas covid19 vaccine shipment destined for australia after the drug manufacturer failed to deliver the doses it promised europe ,166
COVID-19,this week team osuwexmed administered some of the first johnson amp johnson covid19 vaccines  the only singledose shot authorized by the fda were working to ramp up its production because a third safe and effective vaccine means we can vaccinate more people more quickly ,271
COVID-19,nc is ranked 1 in the us for vaccinations of adults over 65 way to go nc i am so proud of our vaccine providers across north carolina and the amazing team at ncdhhs for all their hard work getting vaccines into arms quickly and equitably   ,240
COVID-19,all three vaccines authorized in the us  made by johnson amp johnson moderna and pfizer and biontech  greatly reduce the risk of getting covid19 they also have a high efficacy against more serious outcomes like hospitalization and death see more ,246
COVID-19,in simulations getting people vaccinated sooner with a lower efficacy vaccine prevented many more covid19 cases hospitalizations and deaths compared to waiting even just a month for a higher efficacy vaccine ,208
COVID-19,the navajo nation has surpassed its goal of administering 100000 covid19 vaccines by the end of february a figure that represents over half of its residents our work to increase supply increase places to get vaccinated and increase vaccinators is making a difference,266
COVID-19,cvs has nearly doubled the number of states where its pharmacies are offering covid19 vaccinations through bidens federal retail pharmacy program cvs said in a statement it is now offering covid19 vaccines in 29 states and puerto rico,234
COVID-19,alaska has become the first state to drop eligibility requirements for covid19 vaccines and allow anyone 16 or older who lives or works in the state to get a vaccine gov dunleavy says ,184
COVID-19,president biden announced expanded anticovid vaccines and that all adults will be eligible by may 1 my cinco de mayo birthday wish is now one shot vaccine and one shot tequila,175
COVID-19,the good news rating agency moodys projects india to grow at 137 in fy2022 up from 108 estimated earlier the revised numbers came on the back of normalisation of activity and growing confidence in the market with the rollout of covid19 vaccines ,245
COVID-19,it was great to be in sumterville today to announce a new drivethru vaccination site which will provide 3000 johnson amp johnson vaccines to floridians 65 and older over the next three days seniorsfirst more here   ,215
COVID-19,we have reached an agreement with biontechpfizer for the supply of four million more doses of covid19 vaccines for eu countries in the next two weeks this will help tackle coronavirus hotspots and facilitate free border movement strongertogether,245
COVID-19,in 1956 elvis was vaccinated backstage at edsullivanshow inspiring thousands to get the polio vaccination with covid19 vaccines becoming available and many americans uncertain three former presidents are talking about following in his footsteps  ,246
COVID-19,india has provided over 481 lakh doses of covid vaccines to various countries till march 4 out of 48106 lakh vaccine doses sent to various countries 735 lakh doses have been supplied as grant assistance 2884 lakh on commercial basis and 11916 lakh doses for covax,263
COVID-19,whoopi receives covid19 vaccine our whoopigoldberg tells us she received her first shot of the coronavirus vaccine and encourages others to do the same get the shot get more information on covid19 vaccines  ,207
COVID-19,vaccines are extremely effective at preventing severe covid illness and death but no vaccine is perfect continue masking up,123
COVID-19,russian intelligence agencies have mounted a campaign to undermine confidence in pfizer incs and other western vaccines ,120
COVID-19,extent of damage to astrazeneca vaccines perceived safety in europe revealed  saying they would refuse this vaccine and wait for a diff one astrazeneca 27 22  23 19 2 pfizer 6 7  7 5 4 moderna 12 11  11 6 5  ,208
